1,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,2
1,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,2
1,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,2
0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,2
0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,2
1,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,2
0,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,2
0,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,2
1,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,2
0,0.59,0.45,0.185,1.283,0.473,0.276,0.425,2
0,0.635,0.515,0.17,1.275,0.509,0.286,0.34,2
1,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,2
1,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,2
1,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,2
1,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,2
0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,2
1,0.63,0.5,0.155,1.005,0.367,0.199,0.36,2
0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,2
0,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,2
1,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,2
0,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,2
2,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,2
2,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,2
1,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,2
1,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,2
0,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,2
1,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,2
1,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,2
1,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,2
1,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,2
1,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,2
0,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,2
0,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,2
1,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,2
1,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,2
0,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,2
0,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,2
1,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,2
1,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,2
1,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,2
2,0.44,0.355,0.165,0.435,0.159,0.105,0.14,2
1,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,2
2,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,2
1,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,2
0,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,2
0,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,2
0,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,2
0,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,2
0,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,2
0,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,2
1,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,2
1,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,2
2,0.6,0.445,0.175,1.057,0.383,0.216,0.355,2
0,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,2
1,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,2
2,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,2
1,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,2
2,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,2
0,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,2
0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,2
0,0.655,0.515,0.2,1.373,0.443,0.3375,0.49,2
0,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,2
0,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,2
0,0.635,0.48,0.235,1.064,0.413,0.228,0.36,2
0,0.575,0.47,0.165,0.853,0.292,0.179,0.35,2
1,0.65,0.515,0.215,1.498,0.564,0.323,0.425,2
0,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,2
0,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,2
0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,2
1,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,2
0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,2
0,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,2
1,0.69,0.56,0.215,1.719,0.68,0.299,0.47,2
1,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,2
1,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,2
0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,2
0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,2
0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,2
0,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,2
1,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,2
